tid,tyear,tname,ttour,tdate,tcourse,tcity,tstate,tyards,tpar,par,place,tie,name,score,first,second,third,fourth,fifth,money,fh,rank_fh,distance,rank_dis,gir,rank_gir,putts,putts_per,rank_putts,par_3s,par_4s,par_5s,eagles,birdies,pars,bogeys,doubles,others,first_place,second_place,third_place,fourth_place
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,1,,Andy Sullivan,277,66,70,74,67,0,187696.18,20,46,306.3,11,37,53,83,20.75,12,-1,-3,-5,2,13,32,6,1,0,1,1,5,1
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,2,,Charl Schwartzel,277,68,69,66,74,0,136183.34,23,36,309.6,7,50,14,112,28,19,-2,-2,-7,1,21,39,10,1,0,6,2,1,1
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,3,,Lee Slattery,278,70,74,65,69,0,81946.85,27,17,315.4,3,46,32,112,28,19,-2,4,-12,1,18,45,6,2,0,15,34,4,3
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,4,,Pablo Martin Benavides,279,71,68,71,69,0,58144.37,0,57,0,44,0,57,0,0,1,0,0,0,0,0,0,0,0,0,28,6,5,4
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,5,YES,Gary Stal,281,75,66,69,71,0,33947.15,24,30,295.2,30,43,45,107,26.75,14,-1,5,-11,4,14,39,15,0,0,101,13,5,5
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,5,YES,Paul Maddy,281,71,71,68,71,0,33947.15,32,9,301.9,19,47,27,114,28.5,21,-1,5,-11,1,18,40,13,0,0,28,21,5,5
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,5,YES,Jared Harvey,281,71,69,70,71,0,33947.15,0,57,0,44,0,57,0,0,1,0,0,0,0,0,0,0,0,0,28,9,5,5
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,5,YES,Thomas Aiken,281,70,71,70,70,0,33947.15,37,1,302.6,16,53,6,121,30.25,50,1,-1,-7,0,20,39,13,0,0,15,13,13,5
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,5,YES,Matthew Fitzpatrick,281,73,68,67,73,0,33947.15,33,6,305.6,12,55,2,117,29.25,34,3,0,-10,2,19,40,7,4,0,54,13,2,5
2062015,2015,South African Open Championship,European,1/11/2015,Glendower G.C.,"Gauteng, Johannesburg",South Africa,"7,564",72,72,5,YES,Alessandro Tadini,281,71,68,73,69,0,33947.15,35,4,286.1,39,49,18,115,28.75,26,-3,2,-6,0,18,43,11,0,0,28,6,17,5
