Name,Hole #,Par,Score,Putts,Fairways,Scrambling,Sand,GIR,Rounds
3,3,4,8,2,N,N/A,N/A,,1
2,2,5,7,2,Y,N/A,N/A,,1
1,1,4,6,2,N,N/A,N/A,,1
5,5,4,6,2,N,N/A,N/A,,1
4,4,3,6,2,N/A,N,N/A,,1
7,7,3,4,3,N/A,N/A,N/A,checked,1
6,6,4,5,1,N,N,N/A,,1
8,8,4,6,2,N,N,N/A,,1
9,9,4,3,1,Y,N/A,N/A,checked,1
10,10,3,2,1,N/A,N/A,N/A,checked,1
11,11,4,6,2,N,N/A,N,,1
13,13,3,4,2,N/A,N,N/A,,1
12,12,4,5,2,Y,N,N,,1
14,14,5,8,2,Y,N/A,N,,1
15,15,4,6,2,N,N/A,N/A,,1
16,16,5,7,2,N,N/A,N/A,,1
17,17,4,5,2,N,N,N/A,,1
18,18,4,4,2,Y,N/A,N/A,checked,1
21,1,4,7,1,N,N/A,N/A,,2
22,2,5,8,2,N,N/A,N/A,,2
23,3,4,4,1,Y,Y,N/A,,2
24,4,3,3,2,N/A,N/A,N/A,checked,2
26,6,4,6,3,N,N/A,N/A,,2
25,5,4,5,2,Y,N,N/A,,2
27,7,3,3,1,N/A,Y,Y,,2
28,8,4,5,2,Y,N,N/A,,2
29,9,4,4,1,Y,Y,Y,,2
30,1,4,8,3,N,N/A,N,,3
31,2,5,6,1,N,N/A,N/A,,3
32,3,4,6,2,Y,N,N/A,,3
33,4,3,4,2,N/A,N,N,,3
34,5,4,6,2,Y,N/A,N/A,,3
35,6,4,7,1,Y,N/A,N,,3
36,7,3,3,1,N/A,Y,N/A,,3
37,8,4,6,2,Y,N/A,N/A,,3
39,10,3,4,3,N/A,N/A,N/A,checked,3
38,9,4,6,2,Y,N,N,,3
40,11,4,6,2,Y,N/A,N/A,,3
41,12,4,4,2,Y,N/A,N/A,checked,3
42,13,3,5,2,N/A,N,N,,3
43,14,5,5,2,Y,N/A,N/A,checked,3
44,15,4,5,1,Y,N,N,,3
45,16,5,8,2,N,N/A,N/A,,3
46,17,4,5,1,N,N/A,N/A,,3
47,18,4,4,2,Y,N/A,N/A,,3
48,1,4,6,,,,,,4
49,2,4,6,,,,,,4
51,4,5,6,,,,,,4
50,3,5,6,,,,,,4
52,5,4,6,,,,,,4
53,6,4,5,,,,,,4
54,7,3,3,,,,,,4
55,8,3,3,,,,,,4
56,9,4,5,,,,,,4
57,10,3,3,,,,,,4
58,11,5,5,,,,,,4
59,12,4,6,,,,,,4
60,13,4,4,,,,,,4
61,14,3,3,,,,,,4
62,15,5,5,,,,,,4
63,16,4,4,,,,,,4
65,18,4,5,,,,,,4
64,17,3,3,,,,,,4
67,1,5,4,2,Y,,,checked,5
68,2,4,6,2,N,,,,5
69,3,4,5,2,Y,,,,5
71,5,5,6,2,N,,,,5
70,4,3,4,2,N/A,,,,5
72,6,3,4,2,N/A,,,,5
73,7,4,5,2,Y,,,,5
74,8,4,5,2,Y,,,,5
75,9,4,6,2,N,,,,5
76,10,4,5,2,N,,,,5
77,11,3,3,2,N/A,,,checked,5
79,13,5,5,1,N,,,,5
78,12,4,4,1,N,,,,5
80,14,4,7,2,N,,,,5
81,15,5,4,1,N,,,checked,5
82,16,4,5,1,N,,,,5
83,17,4,5,2,Y,,,,5
84,18,3,3,2,N/A,,,checked,5
85,1,4,5,,,,,,6
86,2,5,11,,,,,,6
87,3,4,7,,,,,,6
88,4,3,3,,,,,,6
89,5,4,5,,,,,,6
90,6,4,6,,,,,,6
92,8,4,7,,,,,,6
91,7,3,4,,,,,,6
93,9,4,5,,,,,,6
94,10,3,4,,,,,,6
95,11,4,5,,,,,,6
96,12,4,6,,,,,,6
97,13,3,4,,,,,,6
98,14,5,5,,,,,,6
99,15,4,5,,,,,,6
101,17,4,5,,,,,,6
100,16,5,7,,,,,,6
102,18,4,4,,,,,,6
103,1,4,5,1,Y,N/A,Y,,7
104,2,5,6,2,Y,N,N/A,,7
105,3,4,6,1,Y,N,N/A,,7
106,4,3,6,2,N/A,N,N,,7
107,5,4,4,1,Y,Y,N/A,,7
108,6,4,6,2,N,N/A,N/A,,7
109,7,3,4,2,N/A,N,N/A,,7
110,8,4,5,2,N,N,N/A,,7
111,9,4,6,2,N,N,N/A,,7
113,11,4,5,2,N,N/A,N/A,,7
112,10,3,3,1,N/A,Y,N/A,,7
114,12,4,5,2,N,N/A,N/A,,7
116,14,5,5,1,N,Y,N/A,,7
115,13,3,4,1,N/A,N,N/A,,7
118,16,5,6,2,Y,N,N/A,,7
117,15,4,5,2,N,N,N/A,,7
120,18,4,5,2,N,N,N/A,,7
119,17,4,5,1,N,N,Y,,7
121,1,4,6,2,N,N/A,N/A,,8
122,2,5,6,2,N,N,N/A,,8
123,3,4,6,2,Y,N/A,N/A,,8
124,4,3,4,2,N/A,N,N/A,,8
125,5,4,4,2,N,N/A,N/A,checked,8
126,6,4,6,3,N,N/A,N/A,,8
127,7,3,2,1,N/A,N/A,N/A,checked,8
128,8,4,4,2,Y,N/A,N/A,checked,8
129,9,4,6,1,N,N,N,,8
130,10,3,3,2,N/A,N/A,N/A,checked,8
131,11,4,4,1,Y,Y,Y,,8
132,12,4,5,2,N,N/A,N/A,,8
135,15,4,3,0,N,Y,N/A,,8
133,13,3,3,1,N/A,Y,Y,,8
137,17,4,6,2,N,N/A,N/A,,8
138,18,4,4,1,Y,Y,N/A,,8
136,16,5,5,1,Y,N/A,N/A,,8
134,14,5,6,1,N,N,N/A,,8
139,1,4,6,2,N,N/A,N/A,,9
140,2,5,6,1,N,N/A,N/A,,9
141,3,4,6,1,N,N,N/A,,9
142,4,3,3,1,N/A,Y,N/A,,9
143,5,4,4,1,N,Y,N/A,,9
144,6,4,5,1,N,N,N/A,,9
145,7,4,5,2,N,N/A,N/A,,9
149,11,4,5,2,Y,N,N/A,,9
148,10,5,7,1,N,N/A,N/A,,9
153,15,3,2,1,N/A,N/A,N/A,checked,9
147,9,4,6,2,Y,N,N,,9
154,16,4,5,2,Y,N,N/A,,9
156,18,5,7,2,N,N/A,N/A,,9
152,14,4,5,2,N,N,N/A,,9
155,17,3,3,2,N/A,N/A,N/A,checked,9
146,8,3,5,2,N/A,N,N/A,,9
150,12,4,5,2,Y,N,N/A,,9
151,13,4,4,2,Y,N/A,N/A,checked,9
157,1,4,5,2,N,N,N/A,,10
175,18,4,8,2,N,N/A,N/A,,10
168,11,5,6,2,Y,N,N/A,,10
159,2,4,5,2,N,N,N/A,,10
169,12,3,4,2,N/A,N,N/A,,10
