Name,Date,Course,Score,Holes
1,7/20/2019,Wilshire Country Club,,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1"
2,8/2/2019,Wilshire Country Club,,"21,22,23,24,25,26,27,28,29"
3,7/27/2019,Wilshire Country Club,,"32,33,34,35,36,37,30,31,38,39,40,41,42,43,44,45,46,47"
4,6/1/2019,Rio Hondo Golf Club,,"48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65"
5,6/16/2019,Sandpiper,,"67,68,70,73,76,79,72,69,71,74,75,77,78,80,81,82,83,84"
6,4/6/2019,Wilshire Country Club,,"85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102"
7,8/17/2019,Wilshire Country Club,,"103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120"
8,8/24/2019,Wilshire Country Club,,"121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138"
9,9/7/2019,Simi Hills,,"139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156"
10,9/14/2019,Brookside #2,,"157,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175"
11,1/19/2020,Los Verdes,,"176,193,192,191,190,184,185,186,187,188,177,178,179,180,181,182,183,189"
12,4/24/2020,Los Robles,,"195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212"
13,11/25/2019,Owl's Nest,,"213,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273"
14,12/7/2019,Wilshire Country Club,,"274,275,276,277,278,279,280,281,282"
15,5/9/2020,San Juan Hills Golf Club,,"283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300"
